period,year,month,index_value,is_provisional,series_id,series_name,source,source_url,data_retrieved_at
2020-05-01,2020,5,422.0,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2020-04-01,2020,4,420.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2020-03-01,2020,3,423.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2020-02-01,2020,2,424.1,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2020-01-01,2020,1,423.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2019-12-01,2019,12,421.6,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2019-11-01,2019,11,419.1,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2019-10-01,2019,10,418.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2019-09-01,2019,9,416.6,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2019-08-01,2019,8,414.5,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2019-07-01,2019,7,414.9,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2019-06-01,2019,6,413.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2019-05-01,2019,5,414.1,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2019-04-01,2019,4,412.9,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2019-03-01,2019,3,410.8,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2019-02-01,2019,2,409.6,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2019-01-01,2019,1,408.3,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2018-12-01,2018,12,404.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2018-11-01,2018,11,405.5,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2018-10-01,2018,10,405.8,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2018-09-01,2018,9,406.6,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2018-08-01,2018,8,407.4,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2018-07-01,2018,7,408.1,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2018-06-01,2018,6,410.5,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2018-05-01,2018,5,409.2,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2018-04-01,2018,4,406.2,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2018-03-01,2018,3,406.5,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2018-02-01,2018,2,405.9,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
